"Code","Emergency_catchment_pop_2018"
"R0A",918210
"R1F",132704
"R1H",1231581
"R1K",692928
"RA2",329354
"RA3",111148
"RA4",176778
"RA7",515351
"RA9",276332
"RAE",424595
"RAJ",311582
"RAL",666436
"RAN",5864
"RAP",338374
"RAS",249319
"RAX",317010
"RBA",324469
"RBD",191829
"RBK",258542
"RBL",315354
"RBN",362282
"RBQ",30671
"RBS",161104
"RBT",268257
"RBV",38726
"RBZ",164689
"RC1",236128
"RC9",384323
"RCB",529147
"RCD",167611
"RCF",183538
"RCU",128636
"RCX",237336
"RD1",433152
"RD3",318034
"RD8",298785
"RDD",393429
"RDE",706849
"RDU",825540
"RDZ",263765
"RE9",117734
"REF",452260
"REM",276518
"REN",11740
"REP",15828
"RET",17732
"RF4",604029
"RFF",227127
"RFR",212908
"RFS",267535
"RGM",21467
"RGN",531204
"RGP",207602
"RGR",268025
"RGT",526081
"RH8",412540
"RHM",588542
"RHQ",581566
"RHU",582675
"RHW",458864
"RJ1",568727
"RJ2",586700
"RJ6",282594
"RJ7",617081
"RJC",236451
"RJE",689290
"RJL",371278
"RJN",140205
"RJR",198860
"RJZ",662737
"RK5",329250
"RK9",478269
"RKB",594552
"RKE",217447
"RL1",2282
"RL4",405228
"RLN",305331
"RLQ",184991
"RLT",134180
"RM1",612116
"RM3",301533
"RMC",304873
"RMP",190809
"RN3",387282
"RN5",440874
"RN7",311774
"RNA",367453
"RNL",306437
"RNQ",299501
"RNS",376889
"RNZ",230438
"RP4",13614
"RP5",431507
"RP6",39453
"RPA",361630
"RPC",111553
"RPY",27603
"RQ3",196875
"RQ6",292212
"RQ8",431539
"RQM",646794
"RQW",286538
"RQX",249717
"RR7",184567
"RR8",789733
"RRF",257238
"RRJ",3691
"RRK",1267489
"RRV",446948
"RT3",47871
"RTD",542610
"RTE",582850
"RTF",407825
"RTG",779796
"RTH",772661
"RTK",279313
"RTP",382364
"RTR",453552
"RTX",328870
"RVJ",440518
"RVR",384032
"RVV",682391
"RVW",301825
"RVY",191822
"RW6",678855
"RWA",537553
"RWD",557138
"RWE",920732
"RWF",508887
"RWG",407316
"RWH",475363
"RWJ",311182
"RWP",531470
"RWW",270848
"RWY",410047
"RX1",834607
"RXC",364816
"RXF",563536
"RXH",536102
"RXK",424663
"RXL",309754
"RXN",415954
"RXP",499697
"RXQ",386280
"RXR",455260
"RXW",456701
"RYJ",588135
"RYR",477022
