Name,Tier
Barking and Dagenham,Tier 2 (high)
Barnet,Tier 2 (high)
Barnsley,Tier 3 (very high)
Bath and North East Somerset,Tier 2 (high)
Bedford,Tier 2 (high)
Bexley,Tier 2 (high)
Birmingham,Tier 3 (very high)
Blackburn with Darwen,Tier 3 (very high)
Blackpool,Tier 3 (very high)
Bolton,Tier 3 (very high)
"Bournemouth, Christchurch and Poole",Tier 2 (high)
Bracknell Forest,Tier 2 (high)
Bradford,Tier 3 (very high)
Brent,Tier 2 (high)
Brighton and Hove,Tier 2 (high)
"Bristol, City of",Tier 3 (very high)
Bromley,Tier 2 (high)
Buckinghamshire,Tier 2 (high)
Bury,Tier 3 (very high)
Calderdale,Tier 3 (very high)
Cambridgeshire,Tier 2 (high)
Camden,Tier 2 (high)
Central Bedfordshire,Tier 2 (high)
Cheshire East,Tier 2 (high)
Cheshire West and Chester,Tier 2 (high)
Cornwall and Isles of Scilly,Tier 1 (medium)
County Durham,Tier 3 (very high)
Coventry,Tier 3 (very high)
Croydon,Tier 2 (high)
Cumbria,Tier 2 (high)
Darlington,Tier 3 (very high)
Derby,Tier 3 (very high)
Derbyshire,Tier 3 (very high)
Devon,Tier 2 (high)
Doncaster,Tier 3 (very high)
Dorset,Tier 2 (high)
Dudley,Tier 3 (very high)
Ealing,Tier 2 (high)
East Riding of Yorkshire,Tier 3 (very high)
East Sussex,Tier 2 (high)
Enfield,Tier 2 (high)
Essex,Tier 2 (high)
Gateshead,Tier 3 (very high)
Gloucestershire,Tier 2 (high)
Greenwich,Tier 2 (high)
Hackney and City of London,Tier 2 (high)
Halton,Tier 2 (high)
Hammersmith and Fulham,Tier 2 (high)
Hampshire,Tier 2 (high)
Haringey,Tier 2 (high)
Harrow,Tier 2 (high)
Hartlepool,Tier 3 (very high)
Havering,Tier 2 (high)
"Herefordshire, County of",Tier 2 (high)
Hertfordshire,Tier 2 (high)
Hillingdon,Tier 2 (high)
Hounslow,Tier 2 (high)
Isle of Wight,Tier 1 (medium)
Islington,Tier 2 (high)
Kensington and Chelsea,Tier 2 (high)
Kent,Tier 3 (very high)
"Kingston upon Hull, City of",Tier 3 (very high)
Kingston upon Thames,Tier 2 (high)
Kirklees,Tier 3 (very high)
Knowsley,Tier 2 (high)
Lambeth,Tier 2 (high)
Lancashire,Tier 3 (very high)
Leeds,Tier 3 (very high)
Leicester,Tier 3 (very high)
Leicestershire,Tier 3 (very high)
Lewisham,Tier 2 (high)
Lincolnshire,Tier 3 (very high)
Liverpool,Tier 2 (high)
Luton,Tier 2 (high)
Manchester,Tier 3 (very high)
Medway,Tier 3 (very high)
Merton,Tier 2 (high)
Middlesbrough,Tier 3 (very high)
Milton Keynes,Tier 2 (high)
Newcastle upon Tyne,Tier 3 (very high)
Newham,Tier 2 (high)
Norfolk,Tier 2 (high)
North East Lincolnshire,Tier 3 (very high)
North Lincolnshire,Tier 3 (very high)
North Somerset,Tier 3 (very high)
North Tyneside,Tier 3 (very high)
North Yorkshire,Tier 2 (high)
Northamptonshire,Tier 2 (high)
Northumberland,Tier 3 (very high)
Nottingham,Tier 3 (very high)
Nottinghamshire,Tier 3 (very high)
Oldham,Tier 3 (very high)
Oxfordshire,Tier 2 (high)
Peterborough,Tier 2 (high)
Plymouth,Tier 2 (high)
Portsmouth,Tier 2 (high)
Reading,Tier 2 (high)
Redbridge,Tier 2 (high)
Redcar and Cleveland,Tier 3 (very high)
Richmond upon Thames,Tier 2 (high)
Rochdale,Tier 3 (very high)
Rotherham,Tier 3 (very high)
Rutland,Tier 2 (high)
Salford,Tier 3 (very high)
Sandwell,Tier 3 (very high)
Sefton,Tier 2 (high)
Sheffield,Tier 3 (very high)
Shropshire,Tier 2 (high)
Slough,Tier 3 (very high)
Solihull,Tier 3 (very high)
Somerset,Tier 2 (high)
South Gloucestershire,Tier 3 (very high)
South Tyneside,Tier 3 (very high)
Southampton,Tier 2 (high)
Southend-on-Sea,Tier 2 (high)
Southwark,Tier 2 (high)
St. Helens,Tier 2 (high)
Staffordshire,Tier 3 (very high)
Stockport,Tier 3 (very high)
Stockton-on-Tees,Tier 3 (very high)
Stoke-on-Trent,Tier 3 (very high)
Suffolk,Tier 2 (high)
Sunderland,Tier 3 (very high)
Surrey,Tier 2 (high)
Sutton,Tier 2 (high)
Swindon,Tier 2 (high)
Tameside,Tier 3 (very high)
Telford and Wrekin,Tier 2 (high)
Thurrock,Tier 2 (high)
Torbay,Tier 2 (high)
Tower Hamlets,Tier 2 (high)
Trafford,Tier 3 (very high)
Wakefield,Tier 3 (very high)
Walsall,Tier 3 (very high)
Waltham Forest,Tier 2 (high)
Wandsworth,Tier 2 (high)
Warrington,Tier 2 (high)
Warwickshire,Tier 3 (very high)
West Berkshire,Tier 2 (high)
West Sussex,Tier 2 (high)
Westminster,Tier 2 (high)
Wigan,Tier 3 (very high)
Wiltshire,Tier 2 (high)
Windsor and Maidenhead,Tier 2 (high)
Wirral,Tier 2 (high)
Wokingham,Tier 2 (high)
Wolverhampton,Tier 3 (very high)
Worcestershire,Tier 2 (high)
York,Tier 2 (high)
